archive_id,filepath,width,height,aspect_ratio,exif_orientation,face_hint_degrees,status
queerhana-dscn0721a,wetransfer-024eb0(1)/DSCN0721a.jpg,960,1280,0.75,1,,already normal
queerhana-dscn0753,wetransfer-024eb0(1)/DSCN0753.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0773,wetransfer-024eb0(1)/DSCN0773.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0783,wetransfer-024eb0(1)/DSCN0783.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0784,wetransfer-024eb0(1)/DSCN0784.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0788,wetransfer-024eb0(1)/DSCN0788.JPG,1600,1200,1.333,1,,already normal
queerhana-dscn0797,wetransfer-024eb0(1)/DSCN0797.JPG,1600,1200,1.333,1,,already normal
queerhana-invitation-fb,ngbk exhibition 2017/invitation FB.png,1920,1000,1.92,,"0,90,180,270",needs eyes (missing or invalid EXIF orientation)
queerhana-logo,pink.communities.coalition/logo.jpg,2236,2283,0.979,,0,needs eyes (missing or invalid EXIF orientation)
queerhana-dsc-4412,queerhana 2005/DSC_4412.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4414,queerhana 2005/DSC_4414.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4421,queerhana 2005/DSC_4421.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4422,queerhana 2005/DSC_4422.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4426,queerhana 2005/DSC_4426.JPG,2240,1488,1.505,6,,auto-correctable
queerhana-dsc-4427,queerhana 2005/DSC_4427.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4432,queerhana 2005/DSC_4432.JPG,2240,1488,1.505,1,,already normal
queerhana-dscf2788,wetransfer-024eb0(1)/DSCF2788.JPG,1280,960,1.333,1,,already normal
queerhana-dscf2789,wetransfer-024eb0(1)/DSCF2789.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2790,wetransfer-024eb0(1)/DSCF2790.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2793,wetransfer-024eb0(1)/DSCF2793.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2796,wetransfer-024eb0(1)/DSCF2796.JPG,2128,2832,0.751,1,,already normal
queerhana-dscf2804,wetransfer-024eb0(1)/DSCF2804.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2805,wetransfer-024eb0(1)/DSCF2805.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2808,wetransfer-024eb0(1)/DSCF2808.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2809,wetransfer-024eb0(1)/DSCF2809.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2811,wetransfer-024eb0(1)/DSCF2811.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf2812,wetransfer-024eb0(1)/DSCF2812.JPG,2128,2832,0.751,1,,already normal
queerhana-dscf2816,wetransfer-024eb0(1)/DSCF2816.JPG,2128,2832,0.751,1,,already normal
queerhana-dscf2822,wetransfer-024eb0(1)/DSCF2822.JPG,2832,2128,1.331,1,,already normal
queerhana-dscf3598,wetransfer-024eb0(1)/DSCF3598.JPG,960,1280,0.75,1,,already normal
queerhana-dscf3600,wetransfer-024eb0(1)/DSCF3600.JPG,960,1280,0.75,1,,already normal
queerhana-dscf3601,wetransfer-024eb0(1)/DSCF3601.JPG,960,1280,0.75,1,,already normal
queerhana-dscf4451,wetransfer-024eb0(1)/DSCF4451.JPG,480,640,0.75,1,,already normal
queerhana-dscf4454,wetransfer-024eb0(1)/DSCF4454.JPG,640,480,1.333,1,,already normal
queerhana-dscf4458,wetransfer-024eb0(1)/DSCF4458.JPG,1280,960,1.333,1,,already normal
queerhana-dscf4460,wetransfer-024eb0(1)/DSCF4460.JPG,960,1280,0.75,1,,already normal
queerhana-dscf4461,wetransfer-024eb0(1)/DSCF4461.JPG,960,1280,0.75,1,,already normal
queerhana-dscf4463,wetransfer-024eb0(1)/DSCF4463.JPG,960,1280,0.75,1,,already normal
queerhana-dscf4465,wetransfer-024eb0(1)/DSCF4465.JPG,1280,960,1.333,1,,already normal
queerhana-dscf4467,wetransfer-024eb0(1)/DSCF4467.JPG,1280,960,1.333,1,,already normal
queerhana-dscf4468,wetransfer-024eb0(1)/DSCF4468.JPG,1280,960,1.333,1,,already normal
queerhana-dscf4470,wetransfer-024eb0(1)/DSCF4470.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0130,wetransfer-024eb0(1)/DSCN0130.JPG,2560,1920,1.333,1,,already normal
queerhana-dscn0652,wetransfer-024eb0(1)/DSCN0652.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0653,wetransfer-024eb0(1)/DSCN0653.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0654,wetransfer-024eb0(1)/DSCN0654.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0655,wetransfer-024eb0(1)/DSCN0655.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0658,wetransfer-024eb0(1)/DSCN0658.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0659,wetransfer-024eb0(1)/DSCN0659.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0660,wetransfer-024eb0(1)/DSCN0660.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0664,wetransfer-024eb0(1)/DSCN0664.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0665a,wetransfer-024eb0(1)/DSCN0665a.jpg,1280,960,1.333,1,,already normal
queerhana-dscn0674,wetransfer-024eb0(1)/DSCN0674.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0675,wetransfer-024eb0(1)/DSCN0675.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0676,wetransfer-024eb0(1)/DSCN0676.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0679,wetransfer-024eb0(1)/DSCN0679.JPG,2560,1920,1.333,1,,already normal
queerhana-dscn0682,wetransfer-024eb0(1)/DSCN0682.JPG,2560,1920,1.333,1,,already normal
queerhana-dscn0683,wetransfer-024eb0(1)/DSCN0683.JPG,2560,1920,1.333,1,,already normal
queerhana-dscn0684,wetransfer-024eb0(1)/DSCN0684.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0688,wetransfer-024eb0(1)/DSCN0688.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0689,wetransfer-024eb0(1)/DSCN0689.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0690,wetransfer-024eb0(1)/DSCN0690.JPG,1280,960,1.333,1,,already normal
queerhana-dscn0691a,wetransfer-024eb0(1)/DSCN0691a.jpg,960,1280,0.75,1,,already normal
queerhana-dscn0693,wetransfer-024eb0(1)/DSCN0693.JPG,1280,960,1.333,1,,already normal
